symbol,action,price,current_weight,target_weight,delta_weight,current_shares,target_shares,delta_shares,trade_value_rmb
300394.SZ,SELL,136.02904159662972,0.15,0.07214285714285715,-0.07785714285714285,221,106,-115,-15571.428571428569
300496.SZ,BUY,107.85975638858703,0.0,0.07214285714285715,0.07214285714285715,0,100,100,14428.57142857143
300750.SZ,BUY,137.50324319647538,0.0,0.07428571428571429,0.07428571428571429,0,100,100,14857.142857142857
600276.SH,BUY,87.38776048268984,0.0,0.07790418536687194,0.07790418536687194,0,100,100,15580.837073374387
600886.SH,BUY,98.77659644167167,0.0,0.07802960608848374,0.07802960608848374,0,100,100,15605.921217696747
601799.SH,BUY,98.10010750887666,0.0,0.07802960608848374,0.07802960608848374,0,100,100,15605.921217696747
BIL,RELEASE_CASH,1.0,0.75,0.0,-0.75,0,0,0,-150000.0
600036.SH,HOLD_FILTERED,127.81078783224966,0.0,0.0,0.0,0,0,0,0.0
600118.SH,HOLD_FILTERED,146.50622443453116,0.0,0.0,0.0,0,0,0,0.0
600660.SH,HOLD_FILTERED,124.79250349678924,0.0,0.0,0.0,0,0,0,0.0
000938.SZ,HOLD_FILTERED,140.81628188598353,0.1,0.10275330133486162,0.0027533013348616103,142,146,4,550.6602669723221
601668.SH,HOLD_FILTERED,112.58559452330405,0.0,0.015,0.015,0,27,27,3000.0
